Eg
3.243
3.857
2.176
0.431
0.0
0.622
4.163
4.164
4.607
4.662
2.981
3.008
2.986
0.0
0.413
0.309
0.0
4.748
4.503
0.0
0.0
1.383
0.933
0.0
1.55
0.0
4.233
4.23
0.0
1.314
0.637
0.0
1.751
1.853
2.998
2.14
0.0
0.0
0.0
0.632
0.0
0.0
0.0
0.0
0.721
2.482
0.716
4.382
4.383
0.0
0.0
0.0
0.816
0.523
4.588
0.266
2.2
0.546
1.887
2.406
0.0
4.139
0.0
0.267
0.0
2.907
0.0
1.825
4.522
0.534
3.07
2.042
0.0
1.651
2.259
0.721
0.715
0.0
0.0
0.0
4.688
4.23
2.93
2.812
0.244
0.0
0.857
1.105
0.734
0.0
0.0
0.0
0.732
0.246
0.611
0.86
0.736
0.0
0.738
1.104
0.369
0.618
0.0
0.364
0.365
4.796
0.0
1.942
2.538
4.049
1.28
1.367
0.767
0.0
0.742
1.206
4.586
0.0
0.494
0.615
4.778
0.0
0.844
0.0
0.0
0.0
2.822
0.0
0.352
0.0
2.648
0.0
1.896
3.893
2.423
2.398
3.397
3.526
4.309
1.944
2.513
0.0
0.0
2.159
0.0
0.0
0.0
0.0
0.0
0.0
0.73
4.736
4.885
4.885
5.532
5.533
5.532
5.14
2.719
1.922
3.74
0.0
0.0
0.0
0.0
0.211
0.0
0.518
0.0
0.0
0.0
5.284
5.332
5.556
0.0
2.205
2.087
3.924
0.0
0.935
0.935
0.0
0.0
1.481
5.336
5.06
5.295
1.476
1.483
1.365
1.469
1.084
1.073
2.277
2.169
3.49
1.447
0.0
0.0
0.0
0.0
0.64
0.0
1.035
2.855
1.155
1.008
1.025
1.026
5.261
5.119
1.251
5.272
5.254
0.0
0.0
0.419
0.0
0.0
5.582
4.375
4.374
0.0
0.0
4.681
0.0
0.55
3.783
1.352
1.768
2.038
0.0
1.11
0.0
0.0
5.678
5.724
0.0
2.442
5.732
3.87
0.0
1.499
4.116
5.445
2.45
1.258
3.451
3.443
0.0
4.176
0.0
0.0
0.0
0.0
5.069
4.629
5.308
5.672
4.458
5.683
4.332
5.679
5.331
4.788
4.622
4.313
5.005
0.0
5.229
0.403
4.671
2.18
4.976
4.678
4.321
4.976
0.0
1.881
0.0
0.0
0.0
0.0
0.0
0.0
4.977
0.0
5.453
2.749
3.47
5.676
3.596
1.465
2.938
0.673
0.0
3.887
3.706
2.983
3.941
0.0
1.941
1.987
1.819
5.364
5.711
3.909
3.091
0.0
0.0
0.0
3.491
3.785
2.418
2.345
1.526
0.0
1.321
3.695
3.72
3.298
3.15
0.231
3.245
4.273
0.879
1.016
0.787
0.0
1.955
0.864
4.527
5.577
4.422
5.58
5.123
5.126
3.692
2.015
2.015
2.936
3.702
0.0
0.0
0.495
0.0
0.0
0.0
0.0
0.0
0.0
0.0
5.592
5.032
4.895
5.458
0.0
3.848
1.989
0.0
0.0
1.368
1.949
5.037
1.126
1.252
1.247
1.152
1.133
0.0
1.048
1.034
3.421
2.233
0.0
0.0
2.67
0.976
5.452
4.436
3.994
5.449
4.604
5.605
4.595
5.447
4.736
4.767
4.817
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
5.41
2.592
0.0
3.862
0.0
0.0
0.0
0.0
3.273
3.321
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.595
0.0
0.27
2.826
0.955
3.003
0.0
2.267
3.33
0.831
3.479
1.933
3.54
4.238
2.261
6.977
6.449
4.526
0.0
0.0
0.0
0.0
0.0
5.333
6.287
7.507
7.033
7.598
7.447
7.649
3.5
4.133
3.587
0.0
0.37
0.369
0.239
0.241
0.0
0.0
0.0
0.734
6.935
6.987
0.0
0.0
0.0
0.0
3.512
0.801
0.0
7.429
6.452
7.804
7.475
5.344
1.918
1.845
1.85
1.788
0.0
0.91
1.265
1.463
1.006
2.714
3.462
0.0
0.0
0.0
1.284
6.806
6.805
6.995
0.0
0.0
0.609
7.726
3.99
4.168
5.314
4.758
0.0
4.518
7.819
6.719
7.308
7.304
3.202
3.739
3.356
3.743
3.353
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
7.019
0.0
0.0
0.0
2.903
2.871
0.693
0.662
1.237
1.562
0.0
7.853
1.446
0.853
1.421
1.422
1.553
1.553
1.42
0.451
0.582
0.86
4.379
4.236
0.0
0.0
0.0
0.0
3.034
7.045
5.813
5.812
0.704
4.102
4.104
3.791
3.68
0.0
7.317
4.507
2.302
7.224
3.838
3.59
0.0
0.0
0.0
0.0
0.0
0.0
2.042
6.549
7.848
5.913
7.515
7.25
1.582
0.0
0.965
0.424
2.693
0.0
4.137
3.426
0.0
4.491
0.0
0.0
4.732
6.1
7.894
7.261
6.317
7.846
7.803
6.973
7.13
7.382
7.13
3.438
4.156
1.283
0.0
0.0
0.0
0.0
0.0
0.0
0.0
6.212
6.164
0.0
0.0
0.0
3.344
0.759
0.784
1.845
2.418
0.0
7.467
7.944
2.763
6.466
1.617
1.414
1.42
1.533
0.0
0.817
0.802
0.417
1.337
2.841
4.469
0.852
4.117
0.0
0.0
0.0
1.735
6.271
6.766
0.656
0.0
6.987
4.554
4.056
4.013
4.051
0.0
4.051
0.0
7.107
4.076
6.836
7.726
7.665
2.355
3.865
0.0
0.0
0.0
2.373
1.175
2.246
1.548
0.0
1.535
1.201
2.477
0.0
3.118
3.185
3.202
3.206
0.0
1.047
1.153
2.99
0.0
2.872
2.838
0.0
2.823
3.076
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
3.083
3.537
3.077
2.743
0.0
2.408
0.0
4.565
4.589
5.144
3.039
4.37
4.903
4.902
2.37
1.51
0.0
0.0
1.872
4.494
0.0
0.0
1.271
2.054
3.438
3.53
2.43
3.75
0.0
0.0
3.287
3.171
3.327
2.891
2.301
0.0
0.0
0.0
2.013
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.715
0.0
3.657
3.826
2.152
0.206
0.0
0.0
0.205
0.0
1.022
3.258
1.075
1.028
0.0
0.0
1.532
2.65
0.0
0.509
0.714
2.248
0.716
0.611
0.0
0.516
4.03
0.66
0.264
0.0
2.463
0.0
1.446
0.842
0.698
0.601
0.242
0.0
0.0
0.721
2.287
3.116
0.0
2.525
2.048
3.961
0.0
0.728
3.684
0.385
2.018
2.216
1.586
0.0
1.256
0.54
